non_null_ratio,cardinality_ratio,numeric_ratio,date_ratio,avg_len,log_mean,cv,log_min,log_max,is_obj,is_int,is_float,nm_emb_0,nm_emb_1,nm_emb_2,nm_emb_3,nm_emb_4,nm_emb_5,nm_emb_6,nm_emb_7,nm_emb_8,nm_emb_9,nm_emb_10,nm_emb_11,nm_emb_12,nm_emb_13,nm_emb_14,nm_emb_15,nm_emb_16,nm_emb_17,nm_emb_18,nm_emb_19,nm_emb_20,nm_emb_21,nm_emb_22,nm_emb_23,nm_emb_24,nm_emb_25,nm_emb_26,nm_emb_27,nm_emb_28,nm_emb_29,nm_emb_30,nm_emb_31,nm_emb_32,nm_emb_33,nm_emb_34,nm_emb_35,nm_emb_36,nm_emb_37,nm_emb_38,nm_emb_39,nm_emb_40,nm_emb_41,nm_emb_42,nm_emb_43,nm_emb_44,nm_emb_45,nm_emb_46,nm_emb_47,nm_emb_48,nm_emb_49,nm_emb_50,nm_emb_51,nm_emb_52,nm_emb_53,nm_emb_54,nm_emb_55,nm_emb_56,nm_emb_57,nm_emb_58,nm_emb_59,nm_emb_60,nm_emb_61,nm_emb_62,nm_emb_63,nm_emb_64,nm_emb_65,nm_emb_66,nm_emb_67,nm_emb_68,nm_emb_69,nm_emb_70,nm_emb_71,nm_emb_72,nm_emb_73,nm_emb_74,nm_emb_75,nm_emb_76,nm_emb_77,nm_emb_78,nm_emb_79,nm_emb_80,nm_emb_81,nm_emb_82,nm_emb_83,nm_emb_84,nm_emb_85,nm_emb_86,nm_emb_87,nm_emb_88,nm_emb_89,nm_emb_90,nm_emb_91,nm_emb_92,nm_emb_93,nm_emb_94,nm_emb_95,nm_emb_96,nm_emb_97,nm_emb_98,nm_emb_99,nm_emb_100,nm_emb_101,nm_emb_102,nm_emb_103,nm_emb_104,nm_emb_105,nm_emb_106,nm_emb_107,nm_emb_108,nm_emb_109,nm_emb_110,nm_emb_111,nm_emb_112,nm_emb_113,nm_emb_114,nm_emb_115,nm_emb_116,nm_emb_117,nm_emb_118,nm_emb_119,nm_emb_120,nm_emb_121,nm_emb_122,nm_emb_123,nm_emb_124,nm_emb_125,nm_emb_126,nm_emb_127,nm_emb_128,nm_emb_129,nm_emb_130,nm_emb_131,nm_emb_132,nm_emb_133,nm_emb_134,nm_emb_135,nm_emb_136,nm_emb_137,nm_emb_138,nm_emb_139,nm_emb_140,nm_emb_141,nm_emb_142,nm_emb_143,nm_emb_144,nm_emb_145,nm_emb_146,nm_emb_147,nm_emb_148,nm_emb_149,target,nome_arquivo,nome_coluna
1.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4795889761368946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4334421073385485,0.0,0.0,0.0,0.0,0.3697510132667747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2805087233906199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3697510132667747,0.4795889761368946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID,biblioteca_emprestimos.csv,isbn_livro
1.0,1.0,0.0,0.0,17.633333333333333,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2707726394863446,0.3127179190269809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3460117604325606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3127179190269809,0.0,0.0,0.0,0.2667663465759916,0.3127179190269809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20238020894244618,0.24026254657680587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2667663465759916,0.3460117604325606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24314399016626814,0.0,0.0,0.0,0.306145394877147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEXTO_LIVRE,biblioteca_emprestimos.csv,titulo_livro
1.0,0.013333333333333334,0.0,0.0,7.4366666666666665,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2780311879064785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21757421919661635,0.2780311879064785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19537374201887725,0.0,0.4565944740097027,0.0,0.0,0.27025984955989735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24599732593881307,0.0,0.0,0.25127855307004665,0.0,0.0,0.0,0.21435503850872795,0.0,0.0,0.0,0.0,0.0,0.0,0.2780311879064785,0.0,0.0,0.0,0.16261877871054775,0.193058412669776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1865633252539134,0.0,0.22095855670647102,0.21435503850872795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19537374201887725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CATEGORICO_NOMINAL,biblioteca_emprestimos.csv,genero_literario
1.0,0.1,1.0,0.0,1.6466666666666667,2.7089386951633254,0.5889167797694613,0.0,3.4011973816621555,0,1,0,0.0,0.0,0.0,0.21479134601946467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27044625449453363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6306998445656975,0.18537984789947057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29712015679353454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2553845767701387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17878096619506384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2051052886384467,0.0,0.0,0.0,0.0,0.0,0.0,0.2762523667818366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24684086866184252,0.2894775494613024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NUMERICO_INTEIRO,biblioteca_emprestimos.csv,dias_atraso
1.0,0.95,1.0,0.0,4.69,3.2695613345920664,0.5986529134267313,0.3074846997479606,3.928683446321253,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3533291586297537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3360192419027808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2585625202410366,0.23374697501897632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23374697501897632,0.0,0.0,0.0,0.0,0.2585625202410366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3360192419027808,0.0,0.0,0.0,0.0,0.22908311966285727,0.0,0.3092651811315492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22908311966285727,0.28444963590948896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3533291586297537,NUMERICO_CONTINUO,biblioteca_emprestimos.csv,multa_devida
1.0,1.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.18566324406576784,0.2207515800157527,0.2207515800157527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24424514455717347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16990563808197026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2207515800157527,0.2642124359433535,0.0,0.0,0.0,0.0,0.16024027309887662,0.20997643807349275,0.2207515800157527,0.0,0.20370112902647736,0.24424514455717347,0.0,0.0,0.0,0.0,0.0,0.16990563808197026,0.0,0.0,0.20078428862957273,0.2169503700731531,0.18794352304267978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24424514455717347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2642124359433535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15453627334678524,0.0,0.0,0.2568273499371718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16651558214589196,0.20676030946480609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATA_HORA,biblioteca_emprestimos.csv,data_devolucao
1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.22094095032534367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22365450306272536,0.23893513098640917,0.23893513098640917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24604665017344224,0.0,0.0,0.0,0.0,0.0,0.0,0.19068738347756814,0.0,0.0,0.0,0.24240619760749643,0.0,0.0,0.0,0.0,0.2356183859853093,0.0,0.2021892557805726,0.0,0.0,0.23893513098640917,0.0,0.0,0.0,0.3056268840404292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39631011672142247,0.2356183859853093,0.267511897455595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21832262986210985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2293969108707608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID,candidatos_vagas.csv,candidato_id
1.0,0.013333333333333334,0.0,0.0,8.853333333333333,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35947251010890413,0.3272009378355881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26305815951217904,0.2378111451834164,0.0,0.0,0.2733948133173976,0.0,0.0,0.0,0.0,0.3502260581981935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285113544881722,0.0,0.0,0.0,0.0,0.0,0.0,0.2378111451834164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30365805712799004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285113544881722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35947251010890413,0.0,0.0,CATEGORICO_NOMINAL,candidatos_vagas.csv,vaga_aplicada
1.0,0.05,1.0,0.0,1.3,2.0364470501069802,0.6390170361260656,0.0,2.70805020110221,0,1,0,0.2872521726539783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22103688254738404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24316695515096207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2749334040802121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2183550888455575,0.0,0.25515129594320335,0.0,0.0,0.0,0.25962182827130886,0.3107353327515689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2942804596312221,0.0,0.2694685933258176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2749334040802121,0.0,0.2872521726539783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24694938420213042,0.0,0.0,0.0,0.0,0.28083584935017397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NUMERICO_INTEIRO,candidatos_vagas.csv,anos_experiencia
1.0,1.0,1.0,0.0,7.516666666666667,9.355823318156421,0.4124898427300364,8.012667680198726,9.901707970018037,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19332030210259302,0.2432540927185063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23037266338041348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36458247599545796,0.0,0.2032407184816295,0.0,0.23645482004359325,0.1903592891435367,0.2432540927185063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1709357238433541,0.0,0.0,0.0,0.0,0.0,0.2032407184816295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21522713614615427,0.22487068342571806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16891000383546198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20696633992451854,0.0,0.0,0.0,0.0,0.18485730918884127,0.19332030210259302,0.0,0.0,0.0,0.0,0.0,0.43045427229230854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1709357238433541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NUMERICO_CONTINUO,candidatos_vagas.csv,pretensao_salarial
